Gen|Genesis|OT
Exo|Exodus|OT
Lev|Leviticus|OT
Num|Numbers|OT
Deu|Deuteronomy|OT
Jos|Joshua|OT
Jdg|Judges|OT
Rut|Ruth|OT
Sa1|1 Samuel|OT
Sa2|2 Samuel|OT
Kg1|1 Kings|OT
Kg2|2 Kings|OT
Ch1|1 Chronicles|OT
Ch2|2 Chronicles|OT
Ezr|Ezra|OT
Neh|Nehemiah|OT
Est|Esther|OT
Job|Job|W
Psa|Psalms|W
Pro|Proverbs|W
Ecc|Ecclesiastes|W
Sol|Song of Songs|W
Isa|Isaiah|OT
Jer|Jeremiah|OT
Lam|Lamentations|OT
Eze|Ezekiel|OT
Dan|Daniel|OT
Hos|Hosea|OT
Joe|Joel|OT
Amo|Amos|OT
Oba|Obadiah|OT
Jon|Jonah|OT
Mic|Micah|OT
Nah|Nahum|OT
Hab|Habakkuk|OT
Zep|Zephaniah|OT
Hag|Haggai|OT
Zac|Zechariah|OT
Mal|Malachi|OT
Mat|Matthew|NT
Mar|Mark|NT
Luk|Luke|NT
Joh|John|NT
Act|Acts|NT
Rom|Romans|NT
Co1|1 Corinthians|NT
Co2|2 Corinthians|NT
Gal|Galatians|NT
Eph|Ephesians|NT
Phi|Philippians|NT
Col|Colossians|NT
Th1|1 Thessalonians|NT
Th2|2 Thessalonians|NT
Ti1|1 Timothy|NT
Ti2|2 Timothy|NT
Tit|Titus|NT
Plm|Philemon|NT
Heb|Hebrews|NT
Jam|James|NT
Pe1|1 Peter|NT
Pe2|2 Peter|NT
Jo1|1 John|NT
Jo2|2 John|NT
Jo3|3 John|NT
Jde|Jude|NT
Rev|Revelation|NT
